short_name,long_name,age,potential,
L. Messi,Lionel Andrés Messi Cuccittini,27,95,
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,29,92,
A. Robben,Arjen Robben,30,90,
Z. Ibrahimović,Zlatan Ibrahimović,32,90,
M. Neuer,Manuel Neuer,28,90,
L. Suárez,Luis Alberto Suárez Díaz,27,91,
E. Hazard,Eden Hazard,23,90,
R. van Persie,Robin van Persie,30,88,
B. Schweinsteiger,Bastian Schweinsteiger,29,88,
F. Ribéry,Franck Bilal Ribéry,31,88,
Falcao,Radamel Falcao García Zárate,28,88,
G. Bale,Gareth Frank Bale,24,91,
R. Lewandowski,Robert Lewandowski,25,89,
P. Lahm,Philipp Lahm,30,87,
Sergio Ramos,Sergio Ramos García,28,87,
Thiago Silva,Thiago Emiliano da Silva,29,87,
David Silva,David Josué Jiménez Silva,28,87,
L. Modrić,Luka Modrić,28,87,
J. Rodríguez,James David Rodríguez Rubio,22,92,
Neymar,Neymar da Silva Santos Junior,22,91,
T. Courtois,Thibaut Courtois,22,90,
M. Hummels,Mats  Hummels,25,88,
A. Di María,Ángel Fabián Di María Hernández,26,88,
M. Reus,Marco Reus,25,88,
T. Müller,Thomas Müller,24,88,
S. Agüero,Sergio Leonel Agüero del Castillo,26,87,
M. Özil,Mesut Özil,25,87,
Xavi,Xavier Hernández Creus,34,86,
Y. Touré,Gnégnéri Yaya Touré,31,86,
W. Rooney,Wayne Mark Rooney,28,86,
V. Kompany,Vincent Kompany,28,86,
M. Götze,Mario Götze,22,91,
Sergio Busquets,Sergio Busquets i Burgos,25,89,
T. Kroos,Toni Kroos,24,88,
K. Benzema,Karim Benzema,26,87,
E. Cavani,Edinson Roberto Cavani Gómez,27,87,
Diego Costa,Diego da Silva Costa,25,87,
A. Vidal,Arturo Vidal,27,87,
H. Lloris,Hugo Lloris,27,86,
Javi Martinez,Javier Martínez Aginaga,25,86,
Juan Mata,Juan Manuel Mata García,26,86,
J. Boateng,Jérôme Boateng,25,86,
P. Čech,Petr Čech,32,85,
C. Tévez,Carlos Alberto Tevez,30,85,
Piqué,Gerard Piqué Bernabéu,27,89,
A. Turan,Arda Turan,27,88,
A. Sánchez,Alexis Alejandro Sánchez Sánchez,25,88,
